address,area,city,country,crawl_date,guest_recommendation,hotel_brand,hotel_category,hotel_star_rating,image_count,latitude,locality,longitude,point_of_interest,property_id,property_name,property_type,province,query_time_stamp,review_count_by_category,room_area,room_count,room_type,site_review_count,site_review_rating,site_stay_review_rating,sitename,state,uniq_id
"Pali City, Pali Rajasthan",Others,Pali,India,24-07-2016,,null,regular,0,2,25.7790319,Others,73.3227983,Others,HTLGBO1000066232,HOTEL POONAM,Hotel,Pali,2016-07-24 02:08:01 +0000,,,2,Double Bed (AC),,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Rajasthan,07195efd7eef0d7c77ee44764cbc1c44
"The Mall Road, Near CM House, Shimla",Main Town,Shimla,India,24-07-2016,50,null,regular,2,10,31.092466,Main Town,77.17746,Christ Church &amp; St. Michael's Cathedral|Viceregal Lodge|Tara Devi Temple|Wild Flower Hall|Himachal State Museum|Main Town|Chadwick Falls|Christ Church|Shimla Railway Station|Ridge|Scandal Point|Nideshalaya Bhartiya Chikitsa Paddhati &amp; Homeopathy Vibhag|Regional Cancer Hospital|Jakhoo Temple|Bus Stand|Gaiety Heritage Cultural Complex|Indus Hospital|Sri Ram Hospital|Rippon Hospital|Saint Bede's College,HTLGBO1000001696,Hotel Rajat Regency,Hotel,Shimla,2016-07-24 02:08:01 +0000,positive reviews::18|critical reviews::8|reviews with images::5,10 X 12 Sq.ft.,22,Deluxe Room,26,3.5,Service Quality::3.5|Amenities::3.3|Food and Drinks::3.6|Value for Money::3.5|Location::3.5|Cleanliness::3.4,goibibo,Himachal Pradesh,2ad2809f344201d6d1dae9eb1cea42b5
The Lower Mall,Mall Road,Kasauli,India,24-07-2016,50,null,regular,0,8,30.90074121,Mall Road,76.96673848,Bon Monastry|Lower Mall|Upper Mall|Manki Point|Kasauli Brewery|Mall Road|Gilbert Trail|Toy Train,HTLGBO1000005339,Hotel R Maidens,Hotel,Kasauli,2016-07-24 02:08:01 +0000,positive reviews::1|critical reviews::1|reviews with images::1,14 X 14 Sq.ft.,6,Standard Room,2,3.1,Service Quality::4.6|Amenities::4.6|Food and Drinks::3.1|Value for Money::4.6|Location::4.6|Cleanliness::3.1,goibibo,Himachal Pradesh,cc56c3768e9665931c5d2214af6fa7bf
Anand Nagar Main Panchmadi Road Hoshangabad,Anand Nagar,Hoshangabad,India,24-07-2016,50,null,regular,0,11,22.7530209,Anand Nagar,77.7168992,Anand Nagar,HTLGBO1000065718,Hotel Palash Residency,Hotel,Hoshangabad,2016-07-24 02:08:01 +0000,positive reviews::0|critical reviews::2|reviews with images::0,,6,AC Room,2,1,Service Quality::1.0|Amenities::1.0|Food and Drinks::1.0|Value for Money::1.0|Location::1.0|Cleanliness::1.0,goibibo,Madhya Pradesh,bc5c3e34eff2a21688dd143f7d762a3b
"Near Rajshree Cinema, Kalaghoda, Sayajigunj",Sayaji gunj,Vadodara,India,24-07-2016,90,null,regular,3,10,22.3094529,Sayaji gunj,73.186587,Vadodara Railway Station|Maharaja Fateh Singh Museum|Sri Aurobindo Niwas|MS University of Baroda|Sursagar Talav|Sayaji Gunj|Sayaji Baug|Vadodara Airport,HTLGBO1000044366,Hotel President,Hotel,Vadodara,2016-07-24 02:08:01 +0000,positive reviews::20|critical reviews::2|reviews with images::4,10 X 12 Sq.ft.,33,Deluxe Room,22,4.1,Service Quality::4.2|Amenities::4.0|Food and Drinks::3.9|Value for Money::4.1|Location::4.2|Cleanliness::4.1,goibibo,Gujarat,06a014389defe1faad7ba41a396e51da
"Tin Batti More, Siliguri Bazar, Siliguri",Others,Siliguri,India,24-07-2016,100,null,regular,2,16,26.7083818,Others,88.4268741,Rai Bhawan|Sadar Hospital|Shahid Bhagat Singh Com'l Complex|Radha Bazar|Sed-Gyued Monastery|Kali Mandir|City Mall|Ratnakhola Welfare Club|Others|Siliguri Railway Station|New Jalpaiguri Station|Subhash Sporting Club,HTLGBO1000054740,Hotel Park Heaven,Hotel,Siliguri,2016-07-24 02:08:01 +0000,positive reviews::1|critical reviews::0|reviews with images::0,,23,Ac Classic,1,3.6,Service Quality::4.6|Amenities::3.6|Food and Drinks::3.6|Value for Money::4.6|Location::3.6|Cleanliness::3.6,goibibo,West Bengal,958d623ce522ea6a936e22ea810edf00
"Near Old Telephone Gali,Opp to Arya Samaj Bhawan, Ward No - 5",Others,Mandawa,India,24-07-2016,,null,regular,3,21,28.050017,Others,75.1487007,Murmuria Haveli|Goenka Double Haveli|Others|Castle Mandawa,HTLGBO1000061336,Hotel Radhika Haveli,Hotel,Mandawa,2016-07-24 02:08:01 +0000,,,10,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Rajasthan,0fc61d589ab209c34e5fd1f6afdcac04
"G T Road, Ludhiana ,Giaspura Chowk, Near Coco Cola Factory",G T Road,Ludhiana,India,24-07-2016,83,null,regular,1,2,30.900965,G T Road,75.8572758,Guru Nanak Stadium|G T Road,HTLGBO1000081938,Hotel Parhar,Hotel,Ludhiana,2016-07-24 02:08:01 +0000,positive reviews::10|critical reviews::2|reviews with images::1,,26,Super Deluxe Room,12,3.9,Service Quality::3.9|Amenities::3.8|Food and Drinks::3.6|Value for Money::4.0|Location::3.7|Cleanliness::3.4,goibibo,Punjab,ac4c3d668b338d98473552219f798c88
Below Gumat Jammu,Bus Stand Area,Jammu,India,24-07-2016,76,null,regular,0,2,32.7266016,Bus Stand Area,74.8570259,Bus Stand Area|Idgah|Jammu Airport|City Square Mall|Amar Mahal Palace Museum|Mubarak Mandi Palace|Mubarak Mandi|Aarone Group Mall,HTLGBO1000027302,Hotel Pride Inn,Hotel,Jammu,2016-07-24 02:08:01 +0000,positive reviews::13|critical reviews::8|reviews with images::6,,5,Standard Room,21,3.1,Service Quality::3.1|Amenities::3.0|Food and Drinks::2.1|Value for Money::3.2|Location::3.1|Cleanliness::2.5,goibibo,Jammu and Kashmir,ba5193045d065237994b41065b96d6b8
"MODI NO.3,SITABULDI,NAGPUR.",Ramdaspeth,Nagpur,India,24-07-2016,65,null,regular,3,11,21.1442869,Ramdaspeth,79.0837621,Nagpur Museum|Sitabuldi Fort|St Thomas Church|Eternity Mall|Ramdaspeth|Nagpur Railway Station,HTLGBO1000014718,HOTEL PRESIDENT,Hotel,Nagpur,2016-07-24 02:08:01 +0000,positive reviews::77|critical reviews::31|reviews with images::6,,28,Regal Deluxe-Air Cooled,108,3.5,Service Quality::3.6|Amenities::3.3|Food and Drinks::3.6|Value for Money::3.4|Location::3.6|Cleanliness::3.6,goibibo,Maharashtra,b69ca0410f1fb97c3b983884638b2d23
"8-A,National Highway,Near Shakti Chamber,Morvi-2",National Highway 8A,Morvi,India,24-07-2016,100,null,regular,1,15,22.8119895,National Highway 8A,70.8236195,National Highway 8A,HTLGBO1000029870,Hotel Radhe Inn,Hotel,Morvi,2016-07-24 02:08:01 +0000,positive reviews::1|critical reviews::0|reviews with images::1,15 X 15 Sq.ft.,8,Standard A/c Room,1,5,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,goibibo,Gujarat,a1eb38c36a2578d620468a11a587ce12
"Hotel President, Sharda Market,",Damuadhunga,Haldwani,India,24-07-2016,,null,regular,0,6,29.21487034,Damuadhunga,79.52869138,Hedakhan Ashram|Railway station|Damuadhunga|Bus Stand|Shitla Mandir|Gaula Barrage|Brij lal hospital|Tikonia Chaurah|Taxi stand|Sushila tiwari hospital,HTLGBO1000085928,Hotel President,Hotel,Haldwani,2016-07-24 02:08:01 +0000,,,20,Super Deluxe,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttarakhand,961d5d45d1d7b54596cf41ee5fe32f7e
"Main Market, Kalpa",Other,Kalpa,India,24-07-2016,,null,regular,0,10,31.5389997,Other,78.2518863,Other,HTLGBO1000074932,HOTEL PARVATI,Hotel,Kalpa,2016-07-24 02:08:01 +0000,,,8,DELUXE,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Himachal Pradesh,aa5eeeaff8c58cf5a4dfcbf21aca9054
"BEHIND L.I.C. DIVISIONAL OFFICE Fraser Road, Patna",Fraser Road Area,Patna,India,24-07-2016,66,null,gostays,2,18,25.61231772,Fraser Road Area,85.1372378,Fraser Road Area|Patna Museum,HTLGBO1000004021,Hotel President,Hotel,Patna,2016-07-24 02:08:01 +0000,positive reviews::70|critical reviews::42|reviews with images::13,18 X 14 Sq.ft.,41,Deluxe Room,112,3.4,Service Quality::3.4|Amenities::3.3|Food and Drinks::3.5|Value for Money::3.4|Location::3.7|Cleanliness::3.5,goibibo,Bihar,db90c3edc69cfc6d3eb4faf674358917
"Saint Marry School Road, Near Sent Marry School,Nakki Lake, Mt. Abu-307501",Lake Area,Mount Abu,India,24-07-2016,0,null,regular,0,7,24.5811731,Lake Area,72.7231464,Toad Rock|Dilwara Temple|Nakki Lake|Lake Area|Om Shanti Bhawan|Shankar Math|Jaipur House|Dilwara Temples|Bus Stand,HTLGBO1000085044,Hotel Purohit Palace,Hotel,Mount Abu,2016-07-24 02:08:01 +0000,positive reviews::0|critical reviews::1|reviews with images::0,,5,Standard Room,1,1,Service Quality::1.0|Amenities::1.0|Food and Drinks::1.0|Value for Money::1.0|Location::1.0|Cleanliness::1.0,goibibo,Rajasthan,f4dfdbf50a696bf5f3e0dedeaf6ab4d8
"Jawalamukhi, Himachal Pradesh 176031",Jawalamukhi,Jawalamukhi,India,24-07-2016,,null,regular,0,7,31.8760295,Jawalamukhi,76.3102478,Jawalamukhi,HTLGBO1000060000,hotel parth,Hotel,Jawalamukhi,2016-07-24 02:08:01 +0000,,,5,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Himachal Pradesh,4442883065ea5928e87f12e4d0adc834
Near K.S.R.T.C Bus Station,Idduki Road,Thodupuzha,India,24-07-2016,,null,regular,4,11,9.9443387,Idduki Road,76.6411363,Idduki Road,HTLGBO1000082306,Hotel Pearl Royal,Hotel,Thodupuzha,2016-07-24 02:08:01 +0000,,,11,Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Kerala,9ecdf32301fe9eb135d362bbe1edd1da
"OPP. SEVENTH DAY SCHOOL, Delhi Rd, Roorkee,","OPP. SEVENTH DAY SCHOOL, Delhi Rd",Roorkee,India,24-07-2016,,null,regular,0,5,29.8397009,"OPP. SEVENTH DAY SCHOOL, Delhi Rd",77.8851435,"Opp. Seventh Day School, Delhi Rd|IIT",HTLGBO1000070254,HOTEL PACIFIC,Hotel,Roorkee,2016-07-24 02:08:01 +0000,,,19,standard room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttarakhand,dcb4cea6e34c8e3da6a6231310b36cc3
Near Main Bazar  Across Right Side Club Bridge pahalgam   192126,Main Market,Pahalgam,India,24-07-2016,,null,regular,1,3,33.9813634,Main Market,75.3200528,Main Market|Aru Valley,HTLGBO1000055628,Hotel Park Palace,Hotel,Pahalgam,2016-07-24 02:08:01 +0000,,,23,Double Bedded Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Jammu and Kashmir,dd01c7910058f20b1be88eb44b493fed
"Arunodoi Path (Boarding Road), Sivasagar",Boarding Road,Sibsagar,India,24-07-2016,100,null,regular,0,4,26.9830194,Boarding Road,94.6343144,Boarding Road,HTLGBO1000035314,Hotel Piccollo,Hotel,Sibsagar,2016-07-24 02:08:01 +0000,positive reviews::2|critical reviews::0|reviews with images::0,,11,Delux,2,4.5,Service Quality::4.5|Amenities::4.0|Food and Drinks::5.0|Value for Money::4.5|Location::5.0|Cleanliness::3.0,goibibo,Assam,de84f54040ad08f4210bb6bc804ebd30
"Dadar Commercial Premises Co.Op Soc, 5th floor, Dadasaheb Phalke Road, Mumbai.",Dadar,Mumbai,India,24-07-2016,83,null,regular,1,7,19.016339,Dadar,72.840289,Dadar|Mahim Railway Station|Metro|St Michael Church|Dadar Central Railway Station|Chhatrapati Shivaji International Airport,HTLGBO1000011185,Hotel Parklane,Hotel,Mumbai,2016-07-24 02:08:01 +0000,positive reviews::70|critical reviews::8|reviews with images::5,,22,Standard Room,78,3.8,Service Quality::3.9|Amenities::3.6|Food and Drinks::3.7|Value for Money::3.8|Location::4.1|Cleanliness::3.7,goibibo,Maharashtra,0a6aae015d642042754fd38063277698
"Haridwar Najibabad Road, Najibabad",Najibabad Road,Bijnaur,India,24-07-2016,100,null,regular,0,3,29.6128628,Najibabad Road,78.3337405,Najibabad Road,HTLGBO1000080262,hotel Rajan,Hotel,Bijnaur,2016-07-24 02:08:01 +0000,positive reviews::2|critical reviews::0|reviews with images::1,,4,Deluxe Room,2,4.3,Service Quality::3.8|Amenities::4.3|Food and Drinks::4.3|Value for Money::4.3|Location::3.8|Cleanliness::4.3,goibibo,Uttar Pradesh,16ca8a73f28908fbcc514c801746d234
"Kodinar Highway, Near Somnath Bypass Circle",Veraval Somnath By Pass,Somnath,India,24-07-2016,69,null,regular,0,20,20.9055016,Veraval Somnath By Pass,70.4041605,Somnath Railway Station|Veraval Somnath By Pass|Somnath Temple|Panch Pandav Gufa (Cave)|Junagadh Gate|Somnath Jyotirlinga Temple,HTLGBO1000020276,Hotel Radhika,Hotel,Somnath,2016-07-24 02:08:01 +0000,positive reviews::8|critical reviews::5|reviews with images::0,,27,Non A/c Delux,13,2.8,Service Quality::2.7|Amenities::2.5|Food and Drinks::2.5|Value for Money::2.4|Location::2.9|Cleanliness::3.0,goibibo,Gujarat,afd16b1f19ab7283ec1bbb57e428ee9a
By Pass Road (NH-58),Kankhal,Haridwar,India,24-07-2016,100,null,regular,0,2,29.91722213,Kankhal,78.09831005,GURUKUL KANGARI UNIVERSITY|Kanya Gurukul|Kankhal|B.H.E.L Main Hospital|BHEL Stadium,HTLGBO1000007875,Hotel Parth,Hotel,Haridwar,2016-07-24 02:08:01 +0000,positive reviews::2|critical reviews::1|reviews with images::1,,12,Double Bed Non A/C,3,3.5,Service Quality::3.5|Amenities::3.5|Food and Drinks::3.5|Value for Money::3.5|Location::3.5|Cleanliness::3.5,goibibo,Uttarakhand,46d76b112c4b3794d9eb7e87f1826058
"Near Helipad, Dist. Ratnagiri Ganpatipule",Others,Ganpatipule,India,24-07-2016,80,null,regular,2,6,17.1488663,Others,73.2726946,Others|Ganapatipule Beach,HTLGBO1000010171,Hotel Pritysangam,Hotel,Ganpatipule,2016-07-24 02:08:01 +0000,positive reviews::38|critical reviews::4|reviews with images::9,,13,Non A/c Couple Room,42,4.3,Service Quality::4.2|Amenities::4.0|Food and Drinks::4.0|Value for Money::4.4|Location::4.0|Cleanliness::4.6,goibibo,Maharashtra,34dc52598aa6fdd43a1a8d3456d96d28
"Hotel Prem Nisarga Near Royal Palace, Mehlat-Ki-Ghati, NAHAN",Panjahal,Nahan,India,24-07-2016,85,null,regular,3,11,30.5599327,Panjahal,77.295483,Panjahal,HTLGBO1000029192,Hotel Prem Nisarga,Hotel,Nahan,2016-07-24 02:08:01 +0000,positive reviews::35|critical reviews::7|reviews with images::7,,7,Standard  Rooms,42,4.1,Service Quality::4.0|Amenities::4.0|Food and Drinks::4.3|Value for Money::4.1|Location::3.9|Cleanliness::4.4,goibibo,Himachal Pradesh,9b4421dd714028b0de3b00185163191a
"Nagal-Anandpur Road, Anandpur Sahib, Punjab",Nagal-Anandpur Road,Anandpur Sahib,India,24-07-2016,0,null,regular,0,5,31.1846474,Nagal-Anandpur Road,76.5656095,Nagal-Anandpur Road,HTLGBO1000060416,Hotel Park Plaza,Hotel,Anandpur Sahib,2016-07-24 02:08:01 +0000,positive reviews::0|critical reviews::1|reviews with images::0,,6,Deluxe Room,1,2,Service Quality::2.0|Amenities::2.0|Food and Drinks::2.0|Value for Money::2.0|Location::4.0|Cleanliness::2.0,goibibo,Punjab,890ae0898fe887bfcd467ba61d5cac75
"PEARL REGENCY Warriam Lane, Near RLY. Station, Thrissur-680001, Kerala",Warriam Lane,Thrissur,India,24-07-2016,100,null,regular,1,4,10.5192579,Warriam Lane,76.2145961,Heritage Garden|Vadakkunnathan Temple|Thrissur Station|Tomb of Shakthan Thampuran|Warriam Lane,HTLGBO1000055298,HOTEL PEARL REGENCY,Hotel,Thrissur,2016-07-24 02:08:01 +0000,positive reviews::1|critical reviews::0|reviews with images::0,,10,NON AC STANDARD ROOM,1,5,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,goibibo,Kerala,7faba5c2a8c6fb0d59b59354acf0b3fb
"Deonghat, Solan Ho, Solan - 173212, Kalka Shimla Road",Solan,Solan,India,24-07-2016,,null,regular,1,2,30.9023489,Solan,77.0895421,Shoolini Mata Temple|Solan|Choor Chandni Peak|Gurkha Fort,HTLGBO1000063562,Hotel Park Way Inn,Hotel,Solan,2016-07-24 02:08:01 +0000,,,5,Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Himachal Pradesh,584978bff3dae3f8e4254f0b529ab206
"near bus stop,inside uday poll,udaipur",Others,Udaipur,India,24-07-2016,,null,regular,3,3,24.573234,Others,73.693352,Jagdish Temple|City Palace|Udaipur Bus Stand|Lake Palace|Udaipur Railway Station|Others|Nagda|Bada Mahal|The Oberoi Udaivilas Hotel|Delhi Darwaza,HTLGBO1000066782,Hotel Park City,Hotel,Udaipur,2016-07-24 02:08:01 +0000,,,13,Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Rajasthan,686c90d7cd0457c6d581fdbf9532f4d5
"22 Kennet Lane, Egmore,",Egmore,Chennai,India,24-07-2016,44,null,regular,1,13,13.077187,Egmore,80.2624594,Chetpet Railway Station|Chennai Park Railway Station|Chennai Fort Railway Station|Chennai Egmore Station|Government Museum|Nehru Stadium|Chennai Suburban Railway Station|Chennai Central Railway Station|Madras Medical College|MA Chidambaram Stadium|MGR Memorial|Chennai Central Bus Stand|Egmore,HTLGBO1000005421,HOTEL RAJ RESIDENCY,Hotel,Chennai,2016-07-24 02:08:01 +0000,positive reviews::64|critical reviews::136|reviews with images::18,,30,Standard AC  Room,200,2.4,Service Quality::2.3|Amenities::2.3|Food and Drinks::2.4|Value for Money::2.5|Location::3.0|Cleanliness::2.4,goibibo,Tamil Nadu,d998e8f9e7cd0071df7c2da0ce066b9a
"3/1, Jeyaraj Road,",Manal Street,Tuticorin,India,24-07-2016,66,null,regular,3,16,8.8055446,Manal Street,78.138808,Manal Street,HTLGBO1000011288,hotel raj,Hotel,Tuticorin,2016-07-24 02:08:01 +0000,positive reviews::33|critical reviews::9|reviews with images::5,,5,Standard,42,3.7,Service Quality::3.6|Amenities::3.7|Food and Drinks::3.8|Value for Money::3.8|Location::4.1|Cleanliness::4.0,goibibo,Tamil Nadu,8416ebecc4dcba75fe8a8ce65bf2fe70
"8-3-833, Plot No-304, 305, Above Green Buvarchi Hotel,, Krishna Nagar Main Rd, Kamalapuri Colony, Jubilee Hills",Jubilee Hills Area,Hyderabad,India,24-07-2016,39,null,regular,0,18,17.4325291,Jubilee Hills Area,78.4048263,Jubilee Hills Area|Inorbit Mall|Big Cinema|GVK ONE|L V Prasad Eye Institute|Durgam Cheruvu,HTLGBO1000011244,Hotel R-Inn Residency,Hotel,Hyderabad,2016-07-24 02:08:01 +0000,positive reviews::13|critical reviews::33|reviews with images::5,,28,Standard Non Ac Room,46,2,Service Quality::1.8|Amenities::1.8|Food and Drinks::2.5|Value for Money::1.9|Location::2.3|Cleanliness::2.3,goibibo,Andhra Pradesh,866689349bbf33a378d1e2a7993dd84f
"Jaistambh Chowk, near bsnl off, near modhapara police station, raipur","K K Road, Moudhapara",Raipur,India,24-07-2016,100,null,regular,0,24,21.243919,"K K Road, Moudhapara",81.63510438,"Balaji Temple|Hajra Water Fall|Dudhadari Temple|K K Road, Moudhapara|Mahant Ghasidas Memorial Museum",HTLGBO1000088492,Hotel Poonam,Hotel,Raipur,2016-07-24 02:08:01 +0000,positive reviews::7|critical reviews::3|reviews with images::1,,30,Standard Non AC Room,10,3.8,Service Quality::3.6|Amenities::3.7|Food and Drinks::4.8|Value for Money::3.7|Location::4.1|Cleanliness::4.8,goibibo,Chhattisgarh,8dd8e53ec047e9df14f3f81a45c44623
Hotel Poornima Near Clock Tower Landour Bazaar Mussoorie,The Mall,Mussoorie,India,24-07-2016,0,null,regular,1,3,30.4599099,The Mall,78.0663978,,HTLGBO1000051960,Hotel Poornima,Hotel,Mussoorie,2016-07-24 02:08:01 +0000,positive reviews::1|critical reviews::1|reviews with images::0,,25,Deluxe Room,2,2,Service Quality::2.0|Amenities::2.0|Food and Drinks::2.0|Value for Money::2.0|Location::2.0|Cleanliness::2.0,goibibo,Uttarakhand,ca0ce8fc70f285dc7c8bd53b649a7d41
"Polo Grounds, New Colony, Shillong, Meghalaya",Police Bazar,Shillong,India,24-07-2016,70,null,regular,4,31,25.58560709,Police Bazar,91.88971346,Elephant Falls|Shillong Peak|Meghalaya State Museum|Botanical Garden and Museum|Ward's Lake|Police Bazar|Polo Ground-Shillong|Gleneagles of the East|Jawaharlal Nehru Stadium|Shallam Complex|Varanasi Gorkha Golf Club,HTLGBO1000003315,Hotel Polo Towers (Wi Fi Complimentary),Hotel,Shillong,2016-07-24 02:08:01 +0000,positive reviews::22|critical reviews::2|reviews with images::6,12 X 12 Sq.ft.,57,Premium Room,24,4.1,Service Quality::3.9|Amenities::4.0|Food and Drinks::3.9|Value for Money::4.0|Location::4.0|Cleanliness::3.9,goibibo,Meghalaya,9398060f5986c6991ee5f27f00993f8d
": NH-22, Near Sri Sankat Mochan Temple, Shimla, Himachal Pradesh 171010",Kufri,Shimla,India,24-07-2016,,null,regular,0,9,31.0658281,Kufri,77.1312586,Kufri|Sankat Mochan|Shimla Airport|AP Goyal Shimla University,HTLGBO1000086162,Hotel Pinecone,Resort,Shimla,2016-07-24 02:08:01 +0000,,,9,Standard,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Himachal Pradesh,07f53d4f054141704a4230e65d7bc4ad
"V.I.P Rd, Keshgarh Sahib, Anandpur Sahib, Punjab","V.I.P Rd, Keshgarh Sahib",Anandpur Sahib,India,24-07-2016,,null,regular,1,7,31.235892,"V.I.P Rd, Keshgarh Sahib",76.5010524,"V.I.P Rd, Keshgarh Sahib",HTLGBO1000055302,Hotel Paramount lodge,Hotel,Anandpur Sahib,2016-07-24 02:08:01 +0000,,,6,Double Bedded AC Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Punjab,f1bda0bb28158309e8b1bf9f2be93056
"Srinagar(Gharwal), Garhwal, 246174",Srikot,Pauri Garwal,India,24-07-2016,,null,regular,0,9,30.2227119,Srikot,78.7885906,Srikot,HTLGBO1000071632,Hotel Prachi,Hotel,Pauri Garwal,2016-07-24 02:08:01 +0000,,,22,Executive Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttarakhand,bfcbbd40110c30a6b62b6b8a5801a34a
"Hadimba Road, Manali",Hadimba Road,Manali,India,24-07-2016,40,null,regular,2,11,32.2459085,Hadimba Road,77.1826108,Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Hadimba Road|Van Vihar|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House,HTLGBO1000028362,Hotel Prashant - Bene Resorts,Hotel,Manali,2016-07-24 02:08:01 +0000,positive reviews::3|critical reviews::2|reviews with images::1,,15,Deluxe Room,5,3,Service Quality::4.3|Amenities::3.5|Food and Drinks::3.0|Value for Money::3.3|Location::4.0|Cleanliness::3.0,goibibo,Himachal Pradesh,0f511e761abdd126a738f1b1b37318ba
"Camel's back Road, Kulari, Mussoorie",Camel Back Road,Mussoorie,India,24-07-2016,55,null,regular,1,1,30.46178279,Camel Back Road,78.07118965,,HTLGBO1000002414,Hotel Peak View,Hotel,Mussoorie,2016-07-24 02:08:01 +0000,positive reviews::10|critical reviews::8|reviews with images::5,,19,Deluxe Room,18,2.8,Service Quality::2.6|Amenities::2.6|Food and Drinks::3.3|Value for Money::2.7|Location::2.6|Cleanliness::3.0,goibibo,Uttarakhand,3ce00358ecb7c1e0d4127ded5f2e06eb
"1 4, Dhenu Market, 565  M.G. Road, Indore 452001, India",Tukoganj,Indore,India,24-07-2016,73,null,regular,3,8,22.72050335,Tukoganj,75.87189873,Tukoganj|Nehru Stadium|Bada Ganpati Temple|Sukh Niwas Palace|Indore Museum|Krishnapura Chhatris Tomb|Rajwada Palace,HTLGBO1000010344,Hotel Purva,Hotel,Indore,2016-07-24 02:08:01 +0000,positive reviews::172|critical reviews::29|reviews with images::38,,33,Deluxe Non (AC),201,3.9,Service Quality::4.0|Amenities::3.8|Food and Drinks::4.0|Value for Money::3.9|Location::4.2|Cleanliness::4.0,goibibo,Madhya Pradesh,8c7318e43c7f4e2e2380638ef8fd5be6
"V.P.O. Sangla, Distt: Kinnau  Village Sangla, Baspa Valley, Sangla","Village Sangla, Baspa Valley, Sangla",Kinnaur,India,24-07-2016,,null,regular,0,7,31.4254859,"Village Sangla, Baspa Valley, Sangla",78.2649956,"Village Sangla, Baspa Valley, Sangla",HTLGBO1000068946,hotel prakash,Hotel,Kinnaur,2016-07-24 02:08:01 +0000,,,24,deluxe room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Himachal Pradesh,a1640add263c196d8472dee45b92129c
"Opp. Railway Station, Bellard Road, Kannur, Kerala 670001",Baby Beach,Kannur,India,24-07-2016,85,null,regular,4,8,11.86939057,Baby Beach,75.36489354,,HTLGBO1000053790,Hotel Rainbow Suites,Hotel,Kannur,2016-07-24 02:08:01 +0000,positive reviews::30|critical reviews::4|reviews with images::9,,102,Executive Room,34,4.1,Service Quality::4.1|Amenities::4.1|Food and Drinks::3.9|Value for Money::4.2|Location::4.1|Cleanliness::3.7,goibibo,Kerala,e7cbcef7d498eca4949d8d7d64ac1b94
"Chanakyapuri Colony, Satna (MP) India",Nirmal Chhaya Rewa Road,Satna,India,24-07-2016,85,null,regular,0,12,24.57117892,Nirmal Chhaya Rewa Road,80.84775519,Nirmal Chhaya Rewa Road|Satna Airport,HTLGBO1000091610,Hotel Park Shree,Hotel,Satna,2016-07-24 02:08:01 +0000,positive reviews::7|critical reviews::0|reviews with images::2,13 X 13 Sq.ft.,15,Deluxe Room,7,4.6,Service Quality::4.7|Amenities::4.5|Food and Drinks::5.0|Value for Money::4.5|Location::4.3|Cleanliness::5.0,goibibo,Madhya Pradesh,c0c493f2abcfe6b622face905645fc23
"80/3, Shirdi Manmad Road, Near VIP Rest House, Neemgaon, Shirdi.",Nagar- Manmad Highway,Shirdi,India,24-07-2016,72,null,regular,0,32,19.77,Nagar- Manmad Highway,74.48,Shirdi Bus Depot|Shirdi Sai Sansthan|Dixit Wada Museum|Gurusthan|Khandoba Temple|Chavadi|Nagar- Manmad Highway|Police station|Samadhi Mandir|Water Park,HTLGBO1000012343,Hotel Pratham Sai,Hotel,Shirdi,2016-07-24 02:08:01 +0000,positive reviews::10|critical reviews::1|reviews with images::1,,38,Deluxe Double Bed AC Room,11,4.2,Service Quality::4.1|Amenities::4.1|Food and Drinks::4.3|Value for Money::4.2|Location::4.3|Cleanliness::4.4,goibibo,Maharashtra,7674d8a10c355126b9885a16c447b1b6
